"s","r","mean","ci0.025","ci0.975","n"
0.5,0.1,-2.60037325006124e-09,-1.10270912401234e-07,1.00744060382851e-07,499
0.5,1,-3.06325631527216e-10,-1.76104273830191e-08,1.69815815187491e-08,500
1,0.1,4.46370052031853e-10,-2.76898135531667e-08,2.49209155089858e-08,500
1,1,-1.10925260088379e-08,-2.73261997518759e-07,3.00282475418356e-07,500
1.5,0.1,-1.59450586068033e-09,-3.10282097792935e-08,3.00557896792952e-08,500
1.5,1,-8.7803364579031e-10,-4.45325415654452e-08,4.12731584908954e-08,499
2,0.1,4.55315785075072e-10,-5.01572110955806e-08,4.57225871386413e-08,500
2,1,-5.74588376878182e-10,-2.6689050391937e-08,2.45811589305589e-08,500
2.5,0.1,-9.75250991075427e-10,-6.22869448463348e-08,6.78305952295233e-08,500
2.5,1,-5.87114357131213e-10,-3.57232564418553e-08,3.20402503195538e-08,500
3,0.1,-6.96696034196975e-10,-3.44106613869855e-08,2.89544094034255e-08,500
3,1,3.24673621321381e-11,-3.02744888269757e-08,3.29954203071025e-08,500
3.5,0.1,-1.37606548378244e-09,-4.76262741244682e-08,5.67987521016277e-08,500
3.5,1,1.09648912172133e-09,-4.07209897357319e-08,4.1819780527419e-08,500
4,0.1,1.89461779598332e-10,-4.68590211522013e-08,4.7750222442744e-08,500
4,1,1.31172228634568e-09,-3.85185197959714e-08,4.46341728466137e-08,500
